,age,bmi,waist_circumference,systolic_bp,diastolic_bp,hba1c,fasting_glucose,total_cholesterol,smoker,steps_per_week,active_minutes_per_week,sedentary_minutes_per_day,wear_days
age,1.0,0.08005622060405322,0.2410527269225278,0.4362980467603229,-0.01120650784251326,0.29502467442506697,0.24709478118919967,0.14142654803964913,-0.3702896357832615,-0.17668374257204233,-0.04928053944410917,0.04907289760261121,0.005335048391540307
bmi,0.08005622060405322,1.0,0.9098909034721017,0.15736820084620798,0.1267118519009341,0.2177007029416393,0.20703931060335581,0.04067275537281674,-0.09301169455943009,-0.12871467714197257,-0.15114144729789777,0.14952682319553734,-0.005962978350813177
waist_circumference,0.2410527269225278,0.9098909034721017,1.0,0.22024870704332458,0.13764662343050402,0.27975664296452085,0.2767360902623589,0.06121377279570153,-0.14488162088444576,-0.1754695620164425,-0.14386320230617425,0.14573942807810933,-0.008594717674919677
systolic_bp,0.4362980467603229,0.15736820084620798,0.22024870704332458,1.0,0.31675304571632185,0.22230553545537096,0.20468108915475652,0.12152062561326697,-0.07450309268122478,-0.0867087919619508,-0.04740086596268344,0.04086182738160148,0.010248773211180963
diastolic_bp,-0.01120650784251326,0.1267118519009341,0.13764662343050402,0.31675304571632185,1.0,0.029693893210963763,0.03620196360524389,0.16345960382834823,0.02431498195102081,0.06864819591909294,0.024449894497679616,-0.02958989268584238,0.013916912834346776
hba1c,0.29502467442506697,0.2177007029416393,0.27975664296452085,0.22230553545537096,0.029693893210963763,1.0,0.8143765128320333,0.061941385116995915,-0.07783245003746446,-0.09153302305363627,-0.07881456955729488,0.06992159927653051,0.003893867188182795
fasting_glucose,0.24709478118919967,0.20703931060335581,0.2767360902623589,0.20468108915475652,0.03620196360524389,0.8143765128320333,1.0,0.036582234639041485,-0.08087315559494017,-0.10642534769769847,-0.060427077372527345,0.05402168515998575,0.010870643958701019
total_cholesterol,0.14142654803964913,0.04067275537281674,0.06121377279570153,0.12152062561326697,0.16345960382834823,0.061941385116995915,0.036582234639041485,1.0,0.02607699058146396,0.039038908067757144,-0.0224917414404255,0.019885705076565886,0.005838122131359873
smoker,-0.3702896357832615,-0.09301169455943009,-0.14488162088444576,-0.07450309268122478,0.02431498195102081,-0.07783245003746446,-0.08087315559494017,0.02607699058146396,1.0,0.05058138586947028,-0.0068161921727377586,0.015791707150770013,0.005244208825336188
steps_per_week,-0.17668374257204233,-0.12871467714197257,-0.1754695620164425,-0.0867087919619508,0.06864819591909294,-0.09153302305363627,-0.10642534769769847,0.039038908067757144,0.05058138586947028,1.0,0.22977879558760803,-0.23235281100508992,-0.0057028956223486695
active_minutes_per_week,-0.04928053944410917,-0.15114144729789777,-0.14386320230617425,-0.04740086596268344,0.024449894497679616,-0.07881456955729488,-0.060427077372527345,-0.0224917414404255,-0.0068161921727377586,0.22977879558760803,1.0,-0.9261556022216537,0.00045707091751591276
sedentary_minutes_per_day,0.04907289760261121,0.14952682319553734,0.14573942807810933,0.04086182738160148,-0.02958989268584238,0.06992159927653051,0.05402168515998575,0.019885705076565886,0.015791707150770013,-0.23235281100508992,-0.9261556022216537,1.0,-0.08038548263162035
wear_days,0.005335048391540307,-0.005962978350813177,-0.008594717674919677,0.010248773211180963,0.013916912834346776,0.003893867188182795,0.010870643958701019,0.005838122131359873,0.005244208825336188,-0.0057028956223486695,0.00045707091751591276,-0.08038548263162035,1.0
