,count,mean,std,min,25%,50%,75%,max
age,4528.0,47.73829505300353,18.336573480997984,18.0,32.0,47.0,63.0,80.0
bmi,4528.0,28.825441696113074,7.011807535293339,13.6,23.9,27.6,32.2,70.1
waist_circumference,4432.0,98.31297382671481,16.671410410474188,63.1,86.2,96.85,107.8,176.0
systolic_bp,4528.0,122.18219964664311,17.795731882402006,64.66666666666667,110.0,119.33333333333331,131.33333333333334,234.66666666666663
diastolic_bp,4528.0,68.84091578327443,12.629437008836758,5.397605346934028e-79,62.0,69.33333333333333,76.0,116.66666666666669
hba1c,4528.0,5.7419390459363955,1.0914416727127954,3.5,5.2,5.5,5.9,16.5
fasting_glucose,4528.0,106.93109540636043,33.2850097098757,39.0,92.0,99.0,108.25,405.0
total_cholesterol,4483.0,188.93397278608074,41.380302306738045,69.0,160.0,186.0,213.0,612.0
smoker,1874.0,0.4599786552828175,0.4985287479353509,0.0,0.0,0.0,1.0,1.0
steps_per_week,4528.0,66677.15431328524,26173.16128420921,0.0,49566.805555555555,66382.16666666667,83090.19444444444,203295.5555555556
active_minutes_per_week,4528.0,7.8002668580683165,21.606564839949502,0.0,0.0,0.7777777777777777,5.444444444444445,532.7777777777778
sedentary_minutes_per_day,4528.0,1378.9121779299176,3.343090219433948,1303.888888888889,1379.2222222222222,1379.888888888889,1380.0,1440.0
wear_days,4528.0,8.868816254416961,0.780261924825741,1.0,9.0,9.0,9.0,9.0
